,회사명,거래소코드,회계년도,이자보상배율,부실기업1
5784,(주)율호,72770,18-Dec,-6.93,1
5787,(주)이건홀딩스,39020,12-Dec,0.45,1
5798,(주)이글루코퍼레이션,67920,14-Dec,-58.26,1
5824,(주)이노와이어리스,73490,15-Dec,-23.11,1
5830,(주)이노인스트루먼트,215790,16-Dec,0,1
5856,(주)이랜시스,264850,17-Dec,-0.92,1
5866,(주)이랜텍,54210,18-Dec,0.16,1
5874,(주)이루온,65440,17-Dec,-0.53,1
5892,(주)이미지스테크놀로지,115610,17-Dec,0,1
5902,(주)이브이수성,84180,18-Dec,-1.28,1
5908,(주)이브이첨단소재,131400,15-Dec,-18.85,1
5923,(주)이수앱지스,86890,12-Dec,-6.49,1
5938,(주)이수페타시스,7660,18-Dec,0.82,1
5943,(주)이수화학,5950,14-Dec,-0.99,1
5949,(주)이스타코,15020,11-Dec,-0.68,1
5960,(주)이스트소프트,47560,13-Dec,-2.77,1
5977,(주)이아이디,93230,12-Dec,-17.54,1
5995,(주)이엔코퍼레이션,66980,12-Dec,-4.25,1
6004,(주)이엔플러스,74610,12-Dec,-6.38,1
6030,(주)이엠앤아이,83470,17-Dec,-1.35,1
6056,(주)이원,17940,16-Dec,0.24,1
6061,(주)이월드,84680,12-Dec,-0.46,1
6097,(주)이크레더블,92130,13-Dec,0,1
6105,(주)이퓨쳐,134060,12-Dec,-19020.62,1
6114,(주)인디에프,14990,12-Dec,-2.03,1
6124,(주)인바디,41830,13-Dec,0,1
6133,(주)인바이오젠,101140,13-Dec,-7.15,1
6140,(주)인산가,277410,17-Dec,-0.3,1
6153,(주)인스코비,6490,12-Dec,-39.21,1
6164,(주)인지디스플레이,37330,14-Dec,-0.1,1
6178,(주)인콘,83640,19-Dec,-0.87,1
6179,(주)인터로조,119610,11-Dec,0,1
6200,(주)인터플렉스,51370,14-Dec,-21.86,1
6209,(주)인텍플러스,64290,14-Dec,-5.46,1
6222,(주)인트로메딕,150840,16-Dec,-4.46,1
6226,(주)인트론바이오테크놀로지,48530,11-Dec,0.65,1
6244,(주)인포마크,175140,15-Dec,-1.55,1
6249,(주)인포바인,115310,11-Dec,0,1
6259,(주)인피니트헬스케어,71200,12-Dec,-5.34,1
6275,(주)일신바이오베이스,68330,18-Dec,0.03,1
6281,(주)일신석재,7110,15-Dec,-5.83,1
6287,(주)일야,58450,12-Dec,-17.29,1
6302,(주)일지테크,19540,18-Dec,0.27,1
