,회사명,거래소코드,회계년도,매출원가감소율,채울열
4,경남제약,53950,15-Dec,,48.21
5,경남제약,53950,16-Dec,,52.51
6,경남제약,53950,17-Dec,,52.32
7,경남제약,53950,18-Dec,,54.69
8,경남제약,53950,19-Dec,3.225806452,57.6
0,경농,2100,11-Dec,0,77.91
1,경농,2100,12-Dec,-1.5625,80.41
2,경농,2100,13-Dec,3.03030303,80.36
3,경농,2100,14-Dec,-1.538461538,79.71
4,경농,2100,15-Dec,0,77.5
5,경농,2100,16-Dec,1.515151515,77.25
6,경농,2100,17-Dec,1.492537313,78.45
7,경농,2100,18-Dec,-1.515151515,81.48
8,경농,2100,19-Dec,1.492537313,79.49
0,경동나비엔,9450,11-Dec,2.702702703,79.665
1,경동나비엔,9450,12-Dec,1.333333333,81.545
2,경동나비엔,9450,13-Dec,-4.166666667,81.135
3,경동나비엔,9450,14-Dec,1.369863014,81.835
4,경동나비엔,9450,15-Dec,-5.797101449,82.075
5,경동나비엔,9450,16-Dec,-4.545454545,81.51
6,경동나비엔,9450,17-Dec,-1.538461538,83.595
7,경동나비엔,9450,18-Dec,2.985074627,84.085
8,경동나비엔,9450,19-Dec,-1.515151515,86.18
0,경동도시가스,267290,17-Dec,0,87.11
1,경동도시가스,267290,18-Dec,1.086956522,87.65
2,경동도시가스,267290,19-Dec,0,86.35
0,경동인베스트,12320,11-Dec,2.127659574,91.06
1,경동인베스트,12320,12-Dec,1.052631579,91.5
2,경동인베스트,12320,13-Dec,0,92.2
3,경동인베스트,12320,14-Dec,0,91.89
4,경동인베스트,12320,15-Dec,0,89.76
5,경동인베스트,12320,16-Dec,-5.555555556,87.27
6,경동인베스트,12320,17-Dec,-25,87.11
7,경동인베스트,12320,18-Dec,4,87.65
8,경동인베스트,12320,19-Dec,8.536585366,86.35
0,경동제약,11040,11-Dec,-23.07692308,41.73
1,경동제약,11040,12-Dec,2.5,41.84
2,경동제약,11040,13-Dec,0,43.25
3,경동제약,11040,14-Dec,2.43902439,44.93
4,경동제약,11040,15-Dec,-2.5,48.21
5,경동제약,11040,16-Dec,0,52.51
6,경동제약,11040,17-Dec,4.761904762,52.32
7,경동제약,11040,18-Dec,-2.43902439,54.69
8,경동제약,11040,19-Dec,0,57.6
0,경방,50,11-Dec,6.756756757,89.195
1,경방,50,12-Dec,5.128205128,90.545
2,경방,50,13-Dec,-8.333333333,88.935
3,경방,50,14-Dec,0,89.09
4,경방,50,15-Dec,0,88.755
5,경방,50,16-Dec,-1.408450704,87.06
6,경방,50,17-Dec,-1.428571429,91.84
7,경방,50,18-Dec,-1.449275362,92.455
8,경방,50,19-Dec,2.816901408,90.715
0,경보제약,214390,15-Dec,,48.21
1,경보제약,214390,16-Dec,,52.51
2,경보제약,214390,17-Dec,,52.32
3,경보제약,214390,18-Dec,,54.69
4,경보제약,214390,19-Dec,,57.6
0,경인양행,12610,11-Dec,0,77.91
1,경인양행,12610,12-Dec,2.298850575,80.41
2,경인양행,12610,13-Dec,-4.819277108,80.36
3,경인양행,12610,14-Dec,-1.219512195,79.71
4,경인양행,12610,15-Dec,2.380952381,77.5
5,경인양행,12610,16-Dec,-1.204819277,77.25
6,경인양행,12610,17-Dec,1.19047619,78.45
7,경인양행,12610,18-Dec,-9.090909091,81.48
8,경인양행,12610,19-Dec,-1.315789474,79.49
0,경인전자,9140,11-Dec,3.571428571,78.63
1,경인전자,9140,12-Dec,-6.329113924,79.75
2,경인전자,9140,13-Dec,0,81.65
3,경인전자,9140,14-Dec,-6.756756757,81.58
4,경인전자,9140,15-Dec,1.333333333,81.36
5,경인전자,9140,16-Dec,3.846153846,82.3
6,경인전자,9140,17-Dec,3.703703704,81.2
7,경인전자,9140,18-Dec,4.705882353,81.97
8,경인전자,9140,19-Dec,-4.938271605,81.8
0,경창산업,24910,11-Dec,3.225806452,86.155
1,경창산업,24910,12-Dec,-2.197802198,87.3
2,경창산업,24910,13-Dec,-3.409090909,87.315
3,경창산업,24910,14-Dec,0,87.805
4,경창산업,24910,15-Dec,0,86.72
5,경창산업,24910,16-Dec,-1.149425287,87.335
6,경창산업,24910,17-Dec,4.395604396,88.505
7,경창산업,24910,18-Dec,-3.409090909,89.65
8,경창산업,24910,19-Dec,5.376344086,89.98
0,계룡건설산업,13580,11-Dec,0,90.885
1,계룡건설산업,13580,12-Dec,0,91.785
2,계룡건설산업,13580,13-Dec,1.075268817,93.005
3,계룡건설산업,13580,14-Dec,7,92.97
4,계룡건설산업,13580,15-Dec,-7.52688172,91.755
5,계룡건설산업,13580,16-Dec,-1.086956522,90.575
6,계룡건설산업,13580,17-Dec,-2.222222222,90.275
7,계룡건설산업,13580,18-Dec,-1.123595506,89.78
8,계룡건설산업,13580,19-Dec,1.111111111,90.355
0,계양전기,12200,11-Dec,3.614457831,73.85
1,계양전기,12200,12-Dec,-1.219512195,75.13
2,계양전기,12200,13-Dec,-2.5,74.77
3,계양전기,12200,14-Dec,1.234567901,76.93
