,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
1575,라닉스,317120,Dec-19,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1576,라온테크,232680,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1581,라이온켐텍,171120,Dec-13,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1588,라이트론,69540,Dec-11,4.87804878,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1597,라파스,214260,Dec-19,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
1598,락앤락,115390,Dec-11,5.882352941,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
1607,랩지노믹스,84650,Dec-14,0,0,0,0,0,0,3.42,27.81,50.99,50.43
1613,러셀,217500,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
1618,레고켐바이오사이언스,141080,Dec-13,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
1625,레드로버,60300,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1634,레드캡투어,38390,Dec-11,-8.620689655,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
1643,레이,228670,Dec-19,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1644,레이언스,228850,Dec-16,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1648,레이크머티리얼즈,281740,Dec-17,0,0,0,0,0,0,0,0,13.425,43.41
1651,로보로보,215100,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
1656,로보스타,90360,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1665,로보티즈,108490,Dec-18,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1667,로지시스,67730,Dec-15,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1672,루멘스,38060,Dec-11,2.380952381,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
1681,루트로닉,85370,Dec-11,18.18181818,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1690,룽투코리아,60240,Dec-11,-20,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1699,리노스,39980,Dec-11,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1708,리더스코스메틱,16100,Dec-11,0,87.015,83.365,84.915,85.41,85.895,85.305,88.34,84.105,84.59
1717,리드,197210,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
1722,리드코프,12700,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
1731,리메드,302550,Dec-19,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1732,링네트,42500,Dec-11,1.176470588,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
1741,링크제니시스,219420,Dec-18,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
1743,마니커,27740,Dec-11,1.098901099,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
1752,마니커에프앤지,195500,Dec-19,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
1753,마이크로디지탈,305090,Dec-19,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
1754,마이크로컨텍솔루션,98120,Dec-11,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
