,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
295,광림,18-Dec,14200,0.9,,14200,-7.777777778,89.65
296,광림,19-Dec,14200,0.93,,14200,3.225806452,89.98
297,광명전기,11-Dec,17040,0.88,,17040,1.136363636,79.665
298,광명전기,12-Dec,17040,0.88,,17040,0,81.545
299,광명전기,13-Dec,17040,0.84,,17040,-4.761904762,81.135
300,광명전기,14-Dec,17040,0.85,,17040,1.176470588,81.835
301,광명전기,15-Dec,17040,0.85,,17040,0,82.075
302,광명전기,16-Dec,17040,0.9,,17040,5.555555556,81.51
303,광명전기,17-Dec,17040,0.91,,17040,1.098901099,83.595
304,광명전기,18-Dec,17040,0.91,,17040,0,84.085
305,광명전기,19-Dec,17040,0.89,,17040,-2.247191011,86.18
306,광무,11-Dec,29480,0.82,,29480,6.097560976,78.63
307,광무,12-Dec,29480,0.82,,29480,0,79.75
308,광무,13-Dec,29480,1.1,,29480,25.45454545,81.65
309,광무,14-Dec,29480,1,,29480,,81.58
310,광무,15-Dec,29480,1,,29480,,81.36
311,광무,16-Dec,29480,1,,29480,,82.3
312,광무,17-Dec,29480,1,,29480,,81.2
313,광무,18-Dec,29480,0.77,,29480,,81.97
314,광무,19-Dec,29480,0.6,,29480,-28.33333333,81.8
315,광전자,11-Dec,17900,0.91,,17900,6.593406593,78.63
316,광전자,12-Dec,17900,0.93,,17900,2.150537634,79.75
317,광전자,13-Dec,17900,0.92,,17900,-1.086956522,81.65
318,광전자,14-Dec,17900,0.98,,17900,6.12244898,81.58
319,광전자,15-Dec,17900,0.95,,17900,-3.157894737,81.36
320,광전자,16-Dec,17900,0.9,,17900,-5.555555556,82.3
321,광전자,17-Dec,17900,0.84,,17900,-7.142857143,81.2
322,광전자,18-Dec,17900,0.87,,17900,3.448275862,81.97
323,광전자,19-Dec,17900,0.88,,17900,1.136363636,81.8
324,광진실업,11-Dec,26910,1,,26910,,90.89
325,광진실업,12-Dec,26910,1,,26910,,91.46
326,광진실업,13-Dec,26910,1,,26910,,91.98
327,광진실업,14-Dec,26910,1,,26910,,91.175
328,광진실업,15-Dec,26910,1,,26910,,90.055
329,광진실업,16-Dec,26910,1,,26910,,89.125
330,광진실업,17-Dec,26910,1,,26910,,90.23
331,광진실업,18-Dec,26910,1,,26910,,91.965
332,광진실업,19-Dec,26910,1,,26910,,92.405
