,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
12986,이원컴포텍(주),88290,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
12995,이지케어텍(주),99750,Mar-19,105802,  출판업,,,,,,,,,
12996,이트론(주),96040,Dec-11,105802,  출판업,,,,,,,,,
13005,이화공영(주),1840,Dec-11,64101,  종합 건설업,,,,,,,,,
13014,이화산업(주),760,Mar-11,74607,  도매 및 상품 중개업,,,,,,,,,
13023,이화전기공업(주),24810,Dec-11,32801,  전기장비 제조업,,,,,,,,,
13032,인베니아(주),79950,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
13041,인선이엔티(주),60150,Dec-11,53802,"  폐기물 수집, 운반, 처리 및 원료 재생업",,,,,,,,,
13050,인지컨트롤스(주),23800,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
13059,인천도시가스(주),34590,Dec-11,43502,"  전기, 가스, 증기 및 공기조절 공급업",,,,,,,,,
13068,인크로스(주),216050,Dec-16,137103,  전문 서비스업,,,,,,,,,
13072,인탑스(주),49070,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
13081,인터지스(주),129260,Dec-11,84903,  육상운송 및 파이프라인 운송업,,,,,,,,,
13090,인포뱅크(주),39290,Dec-11,105802,  출판업,,,,,,,,,
13099,인화정공(주),101930,Dec-11,33101,  기타 운송장비 제조업,,,,,,,,,
13108,일동제약(주),249420,Dec-16,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
13112,일동홀딩스(주),230,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
13121,일성건설(주),13360,Dec-11,64102,  종합 건설업,,,,,,,,,
13130,일성신약(주),3120,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
13139,일신방직(주),3200,Dec-11,31301,  섬유제품 제조업; 의복제외,,,,,,,,,
13148,일양약품(주),7570,Mar-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
13157,일정실업(주),8500,Dec-11,31303,  섬유제품 제조업; 의복제외,,,,,,,,,
13166,일진다이아몬드(주),81000,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
13175,일진디스플레이(주),20760,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
13184,일진머티리얼즈(주),20150,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
13193,일진전기(주),103590,Dec-11,32803,  전기장비 제조업,,,,,,,,,
13202,일진홀딩스(주),15860,Dec-11,137105,  전문 서비스업,,,,,,,,,
13211,잉글우드랩(주),950140,Dec-16,137105,  전문 서비스업,,,,,,,,,
13215,자이글(주),234920,Dec-16,32805,  전기장비 제조업,,,,,,,,,
13219,자이에스앤디(주),317400,Dec-19,126801,  부동산업,,,,,,,,,
13220,자화전자(주),33240,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
13229,재영솔루텍(주),49630,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
13238,전방(주),950,Dec-11,31301,  섬유제품 제조업; 의복제외,,,,,,,,,
13247,전진바이오팜(주),110020,Dec-18,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
13249,제너셈(주),217190,Dec-15,32902,  기타 기계 및 장비 제조업,,,,,,,,,
13254,제룡산업(주),147830,Dec-12,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
13262,제룡전기(주),33100,Dec-11,32801,  전기장비 제조업,,,,,,,,,
13271,제이더블유생명과학(주),234080,Dec-16,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
13275,제이더블유신약(주),67290,Dec-11,32509,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
