회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
(주)나이벡,138610,14-Dec,,,
(주)나이벡,138610,15-Dec,,,
(주)나이벡,138610,16-Dec,,,
(주)나이벡,138610,17-Dec,,,
(주)나이벡,138610,18-Dec,,,
(주)나이벡,138610,19-Dec,,,
(주)나이스디앤비,130580,11-Dec,,,
(주)나이스디앤비,130580,12-Dec,,,
(주)나이스디앤비,130580,13-Dec,,,
(주)나이스디앤비,130580,14-Dec,,,
(주)나이스디앤비,130580,15-Dec,25675101,0,
(주)나이스디앤비,130580,16-Dec,33964917,0,
(주)나이스디앤비,130580,17-Dec,42282947,0,
(주)나이스디앤비,130580,18-Dec,52040929,0,
(주)나이스디앤비,130580,19-Dec,77330430,0,
(주)나이스홀딩스,34310,10-Dec,101591581,0,
(주)나이스홀딩스,34310,11-Dec,194810015,0,
(주)나이스홀딩스,34310,12-Dec,211902144,0,
(주)나이스홀딩스,34310,13-Dec,754166289,0,
(주)나이스홀딩스,34310,14-Dec,936827214,0,
(주)나이스홀딩스,34310,15-Dec,1090840202,0,
(주)나이스홀딩스,34310,16-Dec,1346411434,0,
(주)나이스홀딩스,34310,17-Dec,1450068987,0,
(주)나이스홀딩스,34310,18-Dec,1611892148,221970360,
(주)나이스홀딩스,34310,19-Dec,1877743691,0,
(주)나인테크,267320,17-Dec,,,
(주)나인테크,267320,18-Dec,,,
