,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
188,(주)경인양행,12610,15-Dec,263163677,220123025,0.84,0.82,2.380952381,  화학물질 및 화학제품 제조업; 의약품 제외
189,(주)경인양행,12610,16-Dec,274873817,228042128,0.83,0.84,-1.204819277,  화학물질 및 화학제품 제조업; 의약품 제외
190,(주)경인양행,12610,17-Dec,299987729,252841704,0.84,0.83,1.19047619,  화학물질 및 화학제품 제조업; 의약품 제외
191,(주)경인양행,12610,18-Dec,331102011,255365574,0.77,0.84,-9.090909091,  화학물질 및 화학제품 제조업; 의약품 제외
192,(주)경인양행,12610,19-Dec,358802386,274054354,0.76,0.77,-1.315789474,  화학물질 및 화학제품 제조업; 의약품 제외
193,(주)고려시멘트,198440,14-Dec,,,,,,  기타금융업
194,(주)고려시멘트,198440,15-Dec,,,,,,  기타금융업
195,(주)고려시멘트,198440,16-Dec,,,,,,  기타금융업
196,(주)고려시멘트,198440,17-Dec,,,,,,  기타금융업
197,(주)고려시멘트,198440,18-Dec,,,,,,  기타금융업
198,(주)고려시멘트,198440,19-Dec,,,,,,  기타금융업
199,(주)고영테크놀러지,98460,11-Dec,86130810,36970902,0.43,0.41,4.651162791,  기타 기계 및 장비 제조업
200,(주)고영테크놀러지,98460,12-Dec,107841666,46349851,0.43,0.43,0,  기타 기계 및 장비 제조업
201,(주)고영테크놀러지,98460,13-Dec,111902729,49977494,0.45,0.43,4.444444444,  기타 기계 및 장비 제조업
202,(주)고영테크놀러지,98460,14-Dec,142840131,60262407,0.42,0.45,-7.142857143,  기타 기계 및 장비 제조업
203,(주)고영테크놀러지,98460,15-Dec,145904431,56896177,0.39,0.42,-7.692307692,  기타 기계 및 장비 제조업
204,(주)고영테크놀러지,98460,16-Dec,171793841,63856136,0.37,0.39,-5.405405405,  기타 기계 및 장비 제조업
205,(주)고영테크놀러지,98460,17-Dec,203368626,71899522,0.35,0.37,-5.714285714,  기타 기계 및 장비 제조업
206,(주)고영테크놀러지,98460,18-Dec,238208865,89336707,0.38,0.35,7.894736842,  기타 기계 및 장비 제조업
207,(주)고영테크놀러지,98460,19-Dec,222057035,80865005,0.36,0.38,-5.555555556,  기타 기계 및 장비 제조업
208,(주)골드앤에스,35290,11-Dec,47522791,32544786,0.68,0.71,-4.411764706,  교육 서비스업
209,(주)골드앤에스,35290,12-Dec,43889087,31012456,0.71,0.68,4.225352113,  교육 서비스업
210,(주)골드앤에스,35290,13-Dec,39548810,28127986,0.71,0.71,0,  교육 서비스업
211,(주)골드앤에스,35290,14-Dec,31287203,23453716,0.75,0.71,5.333333333,  교육 서비스업
212,(주)골드앤에스,35290,15-Dec,22197935,15199451,0.68,0.75,-10.29411765,  교육 서비스업
213,(주)골드앤에스,35290,16-Dec,15893494,9347753,0.59,0.68,-15.25423729,  교육 서비스업
214,(주)골드앤에스,35290,17-Dec,12802035,8002687,0.63,0.59,6.349206349,  교육 서비스업
215,(주)골드앤에스,35290,18-Dec,8680452,4405757,0.51,0.63,-23.52941176,  교육 서비스업
216,(주)골드앤에스,35290,19-Dec,7642733,6293120,0.82,0.51,37.80487805,  교육 서비스업
217,(주)골드퍼시픽,38530,11-Dec,,,,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
218,(주)골드퍼시픽,38530,12-Dec,,,,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
219,(주)골드퍼시픽,38530,13-Dec,7167832,8242393,1.15,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
