,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
233,(주)골드앤에스,35290,14-Dec,31287203,23453716,0.75,0.71,5.333333333
234,(주)골드앤에스,35290,15-Dec,22197935,15199451,0.68,0.75,-10.29411765
235,(주)골드앤에스,35290,16-Dec,15893494,9347753,0.59,0.68,-15.25423729
236,(주)골드앤에스,35290,17-Dec,12802035,8002687,0.63,0.59,6.349206349
237,(주)골드앤에스,35290,18-Dec,8680452,4405757,0.51,0.63,-23.52941176
238,(주)골드앤에스,35290,19-Dec,7642733,6293120,0.82,0.51,37.80487805
240,(주)골드퍼시픽,38530,11-Dec,,,,,
241,(주)골드퍼시픽,38530,12-Dec,,,,,
242,(주)골드퍼시픽,38530,13-Dec,7167832,8242393,1.15,,
243,(주)골드퍼시픽,38530,14-Dec,16486257,17957521,1.09,1.15,-5.504587156
244,(주)골드퍼시픽,38530,15-Dec,18635305,19680341,1.06,1.09,-2.830188679
245,(주)골드퍼시픽,38530,16-Dec,,,,1.06,
246,(주)골드퍼시픽,38530,17-Dec,,,,,
247,(주)골드퍼시픽,38530,18-Dec,5708281,1408824,0.25,,
248,(주)골드퍼시픽,38530,19-Dec,,,,0.25,
249,(주)골프존,215000,15-Dec,201560389,80622893,0.4,,
250,(주)골프존,215000,16-Dec,216964342,87427908,0.4,0.4,0
251,(주)골프존,215000,17-Dec,200105321,69036405,0.35,0.4,-14.28571429
252,(주)골프존,215000,18-Dec,198705194,77580938,0.39,0.35,10.25641026
253,(주)골프존,215000,19-Dec,247018099,93859565,0.38,0.39,-2.631578947
254,(주)골프존뉴딘홀딩스,121440,11-Dec,215793737,100364106,0.47,,
255,(주)골프존뉴딘홀딩스,121440,12-Dec,289629366,131624220,0.45,0.47,-4.444444444
256,(주)골프존뉴딘홀딩스,121440,13-Dec,365126358,186981066,0.51,0.45,11.76470588
257,(주)골프존뉴딘홀딩스,121440,14-Dec,429589619,219364035,0.51,0.51,0
258,(주)골프존뉴딘홀딩스,121440,15-Dec,164536448,109081059,0.66,0.51,22.72727273
259,(주)골프존뉴딘홀딩스,121440,16-Dec,243275475,126201483,0.52,0.66,-26.92307692
260,(주)골프존뉴딘홀딩스,121440,17-Dec,213756902,112978779,0.53,0.52,1.886792453
261,(주)골프존뉴딘홀딩스,121440,18-Dec,223036801,129202466,0.58,0.53,8.620689655
262,(주)골프존뉴딘홀딩스,121440,19-Dec,228935651,140609926,0.61,0.58,4.918032787
264,(주)광림,14200,11-Dec,,,,,
265,(주)광림,14200,12-Dec,,,,,
266,(주)광림,14200,13-Dec,,,,,
267,(주)광림,14200,14-Dec,231446314,175450887,0.76,,
268,(주)광림,14200,15-Dec,,,,0.76,
269,(주)광림,14200,16-Dec,87302967,75002299,0.86,,
270,(주)광림,14200,17-Dec,135191558,131160374,0.97,0.86,11.34020619
271,(주)광림,14200,18-Dec,136595300,122536264,0.9,0.97,-7.777777778
272,(주)광림,14200,19-Dec,145864184,134964602,0.93,0.9,3.225806452
274,(주)광명전기,17040,11-Dec,92382628,81102005,0.88,0.87,1.136363636
275,(주)광명전기,17040,12-Dec,117216514,102591227,0.88,0.88,0
276,(주)광명전기,17040,13-Dec,117852824,98728241,0.84,0.88,-4.761904762
277,(주)광명전기,17040,14-Dec,134778387,114780200,0.85,0.84,1.176470588
278,(주)광명전기,17040,15-Dec,116316957,98659704,0.85,0.85,0
279,(주)광명전기,17040,16-Dec,96942911,87732377,0.9,0.85,5.555555556
280,(주)광명전기,17040,17-Dec,101561159,92454439,0.91,0.9,1.098901099
281,(주)광명전기,17040,18-Dec,114110654,103304003,0.91,0.91,0
282,(주)광명전기,17040,19-Dec,131864294,117038701,0.89,0.91,-2.247191011
284,(주)광무,29480,11-Dec,51755052,42251012,0.82,0.77,6.097560976
285,(주)광무,29480,12-Dec,41178683,33757502,0.82,0.82,0
286,(주)광무,29480,13-Dec,20534276,22621739,1.1,0.82,25.45454545
287,(주)광무,29480,14-Dec,,,,1.1,
288,(주)광무,29480,15-Dec,,,,,
289,(주)광무,29480,16-Dec,,,,,
290,(주)광무,29480,17-Dec,,,,,
291,(주)광무,29480,18-Dec,23074941,17769834,0.77,,
292,(주)광무,29480,19-Dec,36483979,21870776,0.6,0.77,-28.33333333
294,(주)광주신세계,37710,11-Dec,,,,,
295,(주)광주신세계,37710,12-Dec,,,,,
296,(주)광주신세계,37710,13-Dec,,,,,
297,(주)광주신세계,37710,14-Dec,,,,,
298,(주)광주신세계,37710,15-Dec,,,,,
299,(주)광주신세계,37710,16-Dec,,,,,
300,(주)광주신세계,37710,17-Dec,,,,,
301,(주)광주신세계,37710,18-Dec,,,,,
302,(주)광주신세계,37710,19-Dec,,,,,
304,(주)구영테크,53270,11-Dec,147832315,129730219,0.88,0.86,2.272727273
305,(주)구영테크,53270,12-Dec,155788988,134266189,0.86,0.88,-2.325581395
306,(주)구영테크,53270,13-Dec,172747316,150485036,0.87,0.86,1.149425287
307,(주)구영테크,53270,14-Dec,170528694,148057799,0.87,0.87,0
308,(주)구영테크,53270,15-Dec,172083049,146639036,0.85,0.87,-2.352941176
309,(주)구영테크,53270,16-Dec,148301597,125781105,0.85,0.85,0
310,(주)구영테크,53270,17-Dec,149833357,127099113,0.85,0.85,0
311,(주)구영테크,53270,18-Dec,195238339,172978813,0.89,0.85,4.494382022
312,(주)구영테크,53270,19-Dec,230853336,208667166,0.9,0.89,1.111111111
314,(주)국동,5320,11-Dec,154293577,134179552,0.87,0.86,1.149425287
315,(주)국동,5320,12-Dec,138172746,112722986,0.82,0.87,-6.097560976
316,(주)국동,5320,13-Dec,147860227,123575979,0.84,0.82,2.380952381
317,(주)국동,5320,14-Dec,186086561,153250540,0.82,0.84,-2.43902439
318,(주)국동,5320,15-Dec,170296068,140601202,0.83,0.82,1.204819277
319,(주)국동,5320,16-Dec,197368723,160651679,0.81,0.83,-2.469135802
320,(주)국동,5320,17-Dec,191602989,163195489,0.85,0.81,4.705882353
321,(주)국동,5320,18-Dec,219550054,183038971,0.83,0.85,-2.409638554
322,(주)국동,5320,19-Dec,223077183,188905199,0.85,0.83,2.352941176
324,(주)국보,1140,11-Dec,130636214,121478547,0.93,0.91,2.150537634
325,(주)국보,1140,12-Dec,122343037,112775782,0.92,0.93,-1.086956522
326,(주)국보,1140,13-Dec,117073443,107727279,0.92,0.92,0
327,(주)국보,1140,14-Dec,97520169,91556717,0.94,0.92,2.127659574
328,(주)국보,1140,15-Dec,91618545,85746776,0.94,0.94,0
329,(주)국보,1140,16-Dec,87333326,79591802,0.91,0.94,-3.296703297
330,(주)국보,1140,17-Dec,78255522,72337683,0.92,0.91,1.086956522
331,(주)국보,1140,18-Dec,71549828,67935985,0.95,0.92,3.157894737
332,(주)국보,1140,19-Dec,89087334,71346937,0.8,0.95,-18.75
334,(주)국보디자인,66620,11-Dec,130689686,110146120,0.84,0.84,0
335,(주)국보디자인,66620,12-Dec,119402993,100272273,0.84,0.84,0
336,(주)국보디자인,66620,13-Dec,163518536,141528744,0.87,0.84,3.448275862
337,(주)국보디자인,66620,14-Dec,176373907,150086662,0.85,0.87,-2.352941176
338,(주)국보디자인,66620,15-Dec,192608497,167038905,0.87,0.85,2.298850575
339,(주)국보디자인,66620,16-Dec,201410031,176586073,0.88,0.87,1.136363636
340,(주)국보디자인,66620,17-Dec,270658405,224690293,0.83,0.88,-6.024096386
341,(주)국보디자인,66620,18-Dec,254259835,216708444,0.85,0.83,2.352941176
342,(주)국보디자인,66620,19-Dec,269005976,236763672,0.88,0.85,3.409090909
344,(주)국순당,43650,11-Dec,127686247,73054530,0.57,0.49,14.03508772
345,(주)국순당,43650,12-Dec,118697826,65490982,0.55,0.57,-3.636363636
346,(주)국순당,43650,13-Dec,99173525,57173733,0.58,0.55,5.172413793
347,(주)국순당,43650,14-Dec,91863604,55688500,0.61,0.58,4.918032787
348,(주)국순당,43650,15-Dec,77443124,50017004,0.65,0.61,6.153846154
349,(주)국순당,43650,16-Dec,69701266,42026522,0.6,0.65,-8.333333333
350,(주)국순당,43650,17-Dec,62761236,38986795,0.62,0.6,3.225806452
351,(주)국순당,43650,18-Dec,61496072,38750320,0.63,0.62,1.587301587
352,(주)국순당,43650,19-Dec,102095769,73665131,0.72,0.63,12.5
354,(주)국영지앤엠,6050,11-Dec,,,,,
355,(주)국영지앤엠,6050,12-Dec,,,,,
356,(주)국영지앤엠,6050,13-Dec,,,,,
357,(주)국영지앤엠,6050,14-Dec,,,,,
358,(주)국영지앤엠,6050,15-Dec,,,,,
359,(주)국영지앤엠,6050,16-Dec,,,,,
360,(주)국영지앤엠,6050,17-Dec,,,,,
361,(주)국영지앤엠,6050,18-Dec,,,,,
362,(주)국영지앤엠,6050,19-Dec,,,,,
363,(주)국전약품,307750,18-Dec,,,,,
364,(주)국전약품,307750,19-Dec,,,,,
366,(주)그래디언트,35080,11-Dec,428571939,282364606,0.66,0.65,1.515151515
367,(주)그래디언트,35080,12-Dec,454225001,299062441,0.66,0.66,0
368,(주)그래디언트,35080,13-Dec,2930521926,2623897237,0.9,0.66,26.66666667
369,(주)그래디언트,35080,14-Dec,3135027346,2828895725,0.9,0.9,0
370,(주)그래디언트,35080,15-Dec,3536848758,3149191043,0.89,0.9,-1.123595506
371,(주)그래디언트,35080,16-Dec,3845761388,3422959059,0.89,0.89,0
372,(주)그래디언트,35080,17-Dec,3541486629,3155796412,0.89,0.89,0
373,(주)그래디언트,35080,18-Dec,3440906300,3085740379,0.9,0.89,1.111111111
374,(주)그래디언트,35080,19-Dec,3412333826,3033401434,0.89,0.9,-1.123595506
375,(주)그리티,204020,18-Dec,119259702,49005066,0.41,,
376,(주)그리티,204020,19-Dec,123079831,56407950,0.46,0.41,10.86956522
377,(주)그린플러스,186230,19-Dec,48831866,39379899,0.81,,
379,(주)글로벌스탠다드테크놀로지,83450,11-Dec,41504144,25904818,0.62,0.6,3.225806452
380,(주)글로벌스탠다드테크놀로지,83450,12-Dec,64812103,39987385,0.62,0.62,0
381,(주)글로벌스탠다드테크놀로지,83450,13-Dec,80982977,54728168,0.68,0.62,8.823529412
