,회사명,회계년도,거래소코드_x,매출원가율,매출원가감소율,산업중간값,산업중간값여부,감소율여부,매출원가감소율여부
364,국순당,15-Dec,43650,0.65,6.153846154,64.89,0,0,0
365,국순당,16-Dec,43650,0.6,-8.333333333,65.23,0,0,0
366,국순당,17-Dec,43650,0.62,3.225806452,68.2,0,0,0
367,국순당,18-Dec,43650,0.63,1.587301587,66.59,0,0,0
368,국순당,19-Dec,43650,0.72,12.5,68.22,0,0,0
369,국영지앤엠,11-Dec,6050,1,0,83.085,0,0,0
370,국영지앤엠,12-Dec,6050,1,0,80.49,0,0,0
371,국영지앤엠,13-Dec,6050,1,0,79.905,0,0,0
372,국영지앤엠,14-Dec,6050,1,0,80.78,0,0,0
373,국영지앤엠,15-Dec,6050,1,0,77.97,0,0,0
374,국영지앤엠,16-Dec,6050,1,0,79.26,0,0,0
375,국영지앤엠,17-Dec,6050,1,0,81.73,0,0,0
376,국영지앤엠,18-Dec,6050,1,0,82.22,0,0,0
377,국영지앤엠,19-Dec,6050,1,0,84.125,0,0,0
378,국일신동,14-Dec,60480,1,0,91.175,0,0,0
379,국일신동,15-Dec,60480,1,0,90.055,0,0,0
380,국일신동,16-Dec,60480,1,0,89.125,0,0,0
381,국일신동,17-Dec,60480,1,0,90.23,0,0,0
382,국일신동,18-Dec,60480,1,0,91.965,0,0,0
383,국일신동,19-Dec,60480,1,0,92.405,0,0,0
384,국제약품,12-Dec,2720,0.65,13.84615385,41.73,0,0,0
385,국제약품,13-Dec,2720,0.6,-8.333333333,41.84,0,0,0
