회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),장기차입금(IFRS)(천원),단기차입금(IFRS)(천원),회사채(IFRS)(천원),이자비용(IFRS연결)(천원),이자비용(IFRS)(천원)
태경산업(주),015890,2013/12,156245955,445819807,129617378,339689878,157718810,281670392,27233718,90456170,4139556,7640532,204424534,435097316,0,0,0,0,917657
태경산업(주),015890,2014/12,133720468,407671453,106174065,308274032,157691074,270088529,24554096,84131687,4594203,7250627,201149673,431307721,0,0,0,0,892082
태경산업(주),015890,2015/12,103723173,353853068,94083757,277208960,145673753,257359685,22602823,79907246,-7713548,-8297535,199441102,467026320,0,0,0,0,847540
태경산업(주),015890,2016/12,131855744,444685147,104515670,347585958,147392865,262584017,23928478,84864812,7249018,4364516,189550262,498398107,0,0,0,0,1117128
태경산업(주),015890,2017/12,170055154,563737012,138338849,453738656,149061390,263417998,24549505,90410047,7410115,7751750,189742689,474559999,0,0,0,0,751386
태경산업(주),015890,2018/12,162083703,563469539,130217149,451550226,154708304,310319252,23951635,88529067,9100880,14442560,195862588,542740904,0,0,0,0,597221
태경산업(주),015890,2019/12,140803292,519562901,116787365,419831678,173552125,343200741,23956798,88957431,31835248,25552233,206941396,561358060,0,0,0,0,174084
태경케미컬(주),006890,2011/12,50958168,53525072,36114953,37192722,70386207,71313721,7304723,8098864,7009617,7826863,82971175,84348411,0,0,0,0,2082
태경케미컬(주),006890,2012/12,53458727,55839714,37763859,38831452,75608764,77327392,9428335,10112498,6426313,7198996,86173316,90176361,0,0,0,0,452
태경케미컬(주),006890,2013/12,50127102,51890971,36377099,37028149,86227613,86582053,8004323,8727637,5738663,4169646,98639441,101276656,0,0,0,0,423
태경케미컬(주),006890,2014/12,52173966,53965988,38001296,38810795,94515784,94664318,8180631,8900322,6296957,6107007,111557201,113103974,0,0,0,0,380
태경케미컬(주),006890,2015/12,49601814,50912036,35753555,36132557,97758951,97714276,8736448,9707340,5552654,5365380,117788563,117932058,0,0,0,0,426
태경케미컬(주),006890,2016/12,50010477,51339557,35886505,36373677,96408939,95634294,10263720,11204910,4483331,3820249,112684380,113086853,0,0,0,0,120631
태경케미컬(주),006890,2017/12,47496957,48889793,35846514,36405198,98642106,97456647,9804663,10687337,2052498,1639019,110772064,110660845,0,0,0,0,46231
태경케미컬(주),006890,2018/12,46060627,47441991,33928923,34379548,108665375,107995673,8894306,9901868,3928957,2906256,122674220,123194402,0,0,0,0,7786
태경케미컬(주),006890,2019/12,40490951,41832104,30371894,30506609,112415458,118491356,8976224,10134091,3511431,9823097,127428211,135621495,0,0,0,0,12498
태광산업(주),003240,2011/12,3154925683,4004987072,2785406227,2831981269,2140486419,2570743590,95268704,715304534,224898482,366280674,2764784725,3834259530,0,0,0,0,4664705
태광산업(주),003240,2012/12,2809979959,3715181735,2746372436,2811034873,2102937531,2583470964,100863586,728776362,-31976603,115498604,2694812595,3880265818,0,0,0,0,3798551
