회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원)
덕성,19-Dec,4830,86726847
덕신하우징,14-Dec,90410,90645621
덕신하우징,15-Dec,90410,104896222
덕신하우징,16-Dec,90410,121634452
덕신하우징,17-Dec,90410,125887825
덕신하우징,18-Dec,90410,135363460
덕신하우징,19-Dec,90410,149006750
데이타솔루션,17-Dec,263800,90041947
데이타솔루션,18-Dec,263800,98116700
데이타솔루션,19-Dec,263800,101169469
덱스터스튜디오,15-Dec,206560,26054827
덱스터스튜디오,16-Dec,206560,31776984
덱스터스튜디오,17-Dec,206560,25334023
덱스터스튜디오,18-Dec,206560,39216741
덱스터스튜디오,19-Dec,206560,55482725
도화엔지니어링,11-Dec,2150,282096884
도화엔지니어링,12-Dec,2150,282716150
도화엔지니어링,13-Dec,2150,270205936
도화엔지니어링,14-Dec,2150,229647463
도화엔지니어링,15-Dec,2150,275048204
도화엔지니어링,16-Dec,2150,324737933
도화엔지니어링,17-Dec,2150,398950053
도화엔지니어링,18-Dec,2150,402472582
도화엔지니어링,19-Dec,2150,516127676
동국알앤에스,11-Dec,75970,154053142
동국알앤에스,12-Dec,75970,129926945
동국알앤에스,13-Dec,75970,117332476
동국알앤에스,14-Dec,75970,110150597
동국알앤에스,15-Dec,75970,98898658
동국알앤에스,16-Dec,75970,94528209
동국알앤에스,17-Dec,75970,95193818
동국알앤에스,18-Dec,75970,101618391
동국알앤에스,19-Dec,75970,101828656
동국에스엔씨,11-Dec,100130,116891942
동국에스엔씨,12-Dec,100130,139563701
동국에스엔씨,13-Dec,100130,140907254
동국에스엔씨,14-Dec,100130,203075322
동국에스엔씨,15-Dec,100130,211285538
동국에스엔씨,16-Dec,100130,383878885
동국에스엔씨,17-Dec,100130,367922824
동국에스엔씨,18-Dec,100130,363113418
동국에스엔씨,19-Dec,100130,317847252
동방,11-Dec,4140,585508996
동방,12-Dec,4140,619415412
동방,13-Dec,4140,635368921
동방,14-Dec,4140,633716236
동방,15-Dec,4140,629844689
동방,16-Dec,4140,575084778
동방,17-Dec,4140,506138372
동방,18-Dec,4140,526437269
동방,19-Dec,4140,633047832
동방선기,11-Dec,99410,55491589
동방선기,12-Dec,99410,38614066
동방선기,13-Dec,99410,24243352
동방선기,14-Dec,99410,35538546
