회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
(주)네오리진,94860,13-Dec,4.01,  소프트웨어 개발 및 공급업
(주)네오리진,94860,14-Dec,5.18,  소프트웨어 개발 및 공급업
(주)네오리진,94860,15-Dec,13.9,  소프트웨어 개발 및 공급업
(주)네오리진,94860,16-Dec,4.56,  소프트웨어 개발 및 공급업
(주)네오리진,94860,17-Dec,4.07,  소프트웨어 개발 및 공급업
(주)네오리진,94860,18-Dec,7.03,  소프트웨어 개발 및 공급업
(주)네오리진,94860,19-Dec,5.77,  소프트웨어 개발 및 공급업
(주)네오셈,253590,18-Dec,,  특수 목적용 기계 제조업
(주)네오셈,253590,19-Dec,24.82,  특수 목적용 기계 제조업
(주)네오오토,212560,15-Dec,0,  자동차 신품 부품 제조업
(주)네오오토,212560,16-Dec,0,  자동차 신품 부품 제조업
(주)네오오토,212560,17-Dec,0,  자동차 신품 부품 제조업
(주)네오오토,212560,18-Dec,0,  자동차 신품 부품 제조업
(주)네오오토,212560,19-Dec,0,  자동차 신품 부품 제조업
(주)네오펙트,290660,18-Dec,20.1,  의료용 기기 제조업
(주)네오펙트,290660,19-Dec,23.67,  의료용 기기 제조업
(주)네이블커뮤니케이션즈,153460,12-Dec,10.02,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,13-Dec,22.04,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,14-Dec,15.9,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,15-Dec,20.11,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,16-Dec,24.43,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,17-Dec,36.92,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,18-Dec,14.83,  소프트웨어 개발 및 공급업
(주)네이블커뮤니케이션즈,153460,19-Dec,13.47,  소프트웨어 개발 및 공급업
(주)네이처셀,7390,11-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,12-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,13-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,14-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,15-Dec,0.16,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,16-Dec,0.12,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,17-Dec,7.22,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,18-Dec,5.71,  기초 의약물질 및 생물학적 제제 제조업
(주)네이처셀,7390,19-Dec,7.96,  기초 의약물질 및 생물학적 제제 제조업
(주)네패스,33640,11-Dec,1.2,  반도체 제조업
(주)네패스,33640,12-Dec,1.63,  반도체 제조업
(주)네패스,33640,13-Dec,2.37,  반도체 제조업
(주)네패스,33640,14-Dec,3.07,  반도체 제조업
(주)네패스,33640,15-Dec,2.73,  반도체 제조업
(주)네패스,33640,16-Dec,3.17,  반도체 제조업
(주)네패스,33640,17-Dec,3.44,  반도체 제조업
(주)네패스,33640,18-Dec,4.49,  반도체 제조업
(주)네패스,33640,19-Dec,4.02,  반도체 제조업
(주)넥스턴바이오사이언스,89140,11-Dec,1.25,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,12-Dec,1.66,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,13-Dec,1.53,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,14-Dec,1.43,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,15-Dec,2,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,16-Dec,0.46,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,17-Dec,1.69,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,18-Dec,4.86,  특수 목적용 기계 제조업
(주)넥스턴바이오사이언스,89140,19-Dec,5.02,  특수 목적용 기계 제조업
(주)넥스트아이,137940,11-Dec,4.79,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,12-Dec,5.19,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,13-Dec,7.25,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,14-Dec,7.93,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,15-Dec,6.88,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,16-Dec,7.07,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,17-Dec,6.07,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
(주)넥스트아이,137940,18-Dec,0,"  측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
