회사명,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)동남합성,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)동방,89.34158013,89.86668396,89.9414001,93.29390082,93.06537082,88.9170111,83.67445469,87.93374473,89.00024762,88.90111482
(주)동방선기,80.30729051,80.32708525,81.46723787,91.52709163,91.53777985,86.68754937,85.99498805,#DIV/0!,#DIV/0!,#DIV/0!
(주)동방아그로,68.83559013,70.10163691,69.99061819,69.21682667,68.19360211,69.63934234,71.75383226,70.9256079,71.18109262,71.2106933
(주)동서,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.2387854,83.07866228,83.97242691,83.31223372
(주)동성케미컬,84.39512525,86.53079672,83.61121103,85.77662342,85.3649598,82.43155732,81.73483908,88.86620939,88.31349689,82.59390471
(주)동성화인텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87.60751791,86.82776528,101.1400911,93.10128281,79.89024375
(주)동아엘텍,66.05748622,74.21201304,75.93384104,71.97560592,76.21012576,73.25443097,72.69710596,76.91283909,80.06521086,74.66437058
(주)동아지질,90.66251444,95.10109191,93.74281894,96.67177642,96.28814537,96.21485284,93.50007212,90.68223406,88.79664579,91.18747454
(주)동양,87.06039037,86.97735071,80.74527011,78.52285095,85.76259118,82.48241245,87.78501626,88.30823652,88.9559147,90.77315141
(주)동양고속,80.42215745,85.71274946,83.48521128,84.15795067,78.73047168,81.41226009,79.9756633,84.76070407,89.1223358,85.79542776
(주)동양에스텍,93.4870612,93.69476298,95.14148534,94.40519381,94.79400518,93.09809688,91.73755877,93.52006916,93.9486934,93.51804433
(주)동우팜투테이블,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,92.03793563
(주)동운아나텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)동원개발,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)동원에프앤비,75.8405754,75.73575271,76.67683825,74.21856335,71.74225372,72.19701805,73.86002642,75.80863811,78.11632707,77.50372339
(주)동일기연,55.86648616,62.47073004,63.08889759,64.68551129,62.71781605,58.35401188,59.42566615,58.48445486,67.47423578,62.00225998
(주)동진쎄미켐,83.30597961,88.56724873,86.51776247,86.86047338,85.01961253,81.87553774,83.87789801,81.18127976,81.5075523,78.70257837
(주)두산,62.23218219,73.46725791,77.76015468,83.23248849,83.44971533,84.21831277,82.46909569,82.10715521,81.71099327,82.95549773
(주)두산테스나,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)두올,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.20053894,82.12158274,83.11780534,83.19237262
(주)듀오백,65.92242829,65.10644483,67.69992829,66.47775433,69.97086029,74.17702166,74.69395784,70.62335717,76.81469125,73.56758152
(주)드래곤플라이,3.318569163,9.605439936,9.083091426,0.556595316,0,0,0,#DIV/0!,#DIV/0!,0
