회사명,거래소코드,2010매출액(수익)(*)(IFRS연결)(천원),2010매출원가(*)(IFRS연결)(천원),2011매출액(수익)(*)(IFRS연결)(천원),2011매출원가(*)(IFRS연결)(천원),2012매출액(수익)(*)(IFRS연결)(천원),2012매출원가(*)(IFRS연결)(천원),2013매출액(수익)(*)(IFRS연결)(천원),2013매출원가(*)(IFRS연결)(천원),2014매출액(수익)(*)(IFRS연결)(천원),2014매출원가(*)(IFRS연결)(천원),2015매출액(수익)(*)(IFRS연결)(천원),2015매출원가(*)(IFRS연결)(천원),2016매출액(수익)(*)(IFRS연결)(천원),2016매출원가(*)(IFRS연결)(천원),2017매출액(수익)(*)(IFRS연결)(천원),2017매출원가(*)(IFRS연결)(천원),2018매출액(수익)(*)(IFRS연결)(천원),2018매출원가(*)(IFRS연결)(천원),2019매출액(수익)(*)(IFRS연결)(천원),2019매출원가(*)(IFRS연결)(천원)
(주)덴티움,145720,,,,,,,,,,,,,,,150645644,44027130,186316234,55544785,252587273,85007604
(주)도화엔지니어링,2150,,,,,,,,,,,,,,,398950053,0,402472582,0,516127676,0
(주)동구바이오제약,6620,,,,,,,,,,,,,,,,,,,,
(주)동국알앤에스,75970,176510449,152569174,154053142,131062628,129926945,107361626,117332476,99367551,110150597,92459132,98898658,84397272,94528209,79321552,95193818,78432752,101618391,83420707,101828656,84700596
(주)동국에스엔씨,100130,105567655,97974633,116891942,106802407,139563701,122594226,140907254,125339083,203075322,183594181,211285538,188419503,383878885,329244715,367922824,332271534,363113418,345171932,317847252,279038439
(주)동남합성,23450,,,,,,,,,,,,,,,,,,,,
(주)동방,4140,548057852,489643545,585508996,526177519,619415412,557110894,635368921,592760451,633716236,589770365,629844689,560039072,575084778,481199052,506138372,445066424,526437269,468530473,633047832,562786580
(주)동방선기,99410,58623157,47078669,55491589,44574776,38614066,31457813,24243352,22189235,35538546,32531196,45092509,39089591,29202617,25112787,,,,,,
(주)동방아그로,7590,102054193,70249606,104135497,73000688,105441229,73798968,109239930,75612413,114629208,78169786,115830676,80663721,115846147,83124050,120248595,85287047,121108495,86206350,124644780,88760412
(주)동서,26960,,,,,,,,,,,,,513790349,427672846,559080361,464476485,563524574,473205261,502235935,418423976
(주)동성케미컬,102260,536619879,452881019,582112775,503706822,654021296,546835126,823409697,706293035,905441155,772929478,871224899,718164252,852912858,697126952,827336387,735222486,813073125,718053309,849786144,701871558
(주)동성화인텍,33500,,,,,,,,,,,347135317,304116635,335005289,290877606,230970494,233603768,188129063,175150571,253271782,202339444
(주)동아엘텍,88130,57179445,37771304,64235041,47670117,67364061,51152119,91172444,65621919,119044673,90724095,119717924,87698684,216159935,157142017,250506618,192671752,253511129,202974220,202944664,151527356
