,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
176,(주)구영테크,53270,12-Dec,0,  자동차 신품 부품 제조업
177,(주)구영테크,53270,13-Dec,0,  자동차 신품 부품 제조업
178,(주)구영테크,53270,14-Dec,0.06,  자동차 신품 부품 제조업
179,(주)구영테크,53270,15-Dec,0.11,  자동차 신품 부품 제조업
180,(주)구영테크,53270,16-Dec,0.01,  자동차 신품 부품 제조업
181,(주)구영테크,53270,17-Dec,0.01,  자동차 신품 부품 제조업
182,(주)구영테크,53270,18-Dec,0.06,  자동차 신품 부품 제조업
183,(주)구영테크,53270,19-Dec,0,  자동차 신품 부품 제조업
184,(주)국동,5320,11-Dec,0,  생활용품 도매업
185,(주)국동,5320,12-Dec,0,  생활용품 도매업
186,(주)국동,5320,13-Dec,0,  생활용품 도매업
187,(주)국동,5320,14-Dec,0,  생활용품 도매업
188,(주)국동,5320,15-Dec,0,  생활용품 도매업
189,(주)국동,5320,16-Dec,0,  생활용품 도매업
190,(주)국동,5320,17-Dec,0,  생활용품 도매업
191,(주)국동,5320,18-Dec,0,  생활용품 도매업
192,(주)국동,5320,19-Dec,0,  생활용품 도매업
193,(주)국보,1140,11-Dec,0,  도로 화물 운송업
194,(주)국보,1140,12-Dec,0,  도로 화물 운송업
195,(주)국보,1140,13-Dec,0,  도로 화물 운송업
196,(주)국보,1140,14-Dec,0,  도로 화물 운송업
197,(주)국보,1140,15-Dec,0,  도로 화물 운송업
198,(주)국보,1140,16-Dec,0,  도로 화물 운송업
199,(주)국보,1140,17-Dec,0,  도로 화물 운송업
200,(주)국보,1140,18-Dec,0,  도로 화물 운송업
201,(주)국보,1140,19-Dec,0,  도로 화물 운송업
202,(주)국순당,43650,11-Dec,0.62,  알코올음료 제조업
203,(주)국순당,43650,12-Dec,0,  알코올음료 제조업
204,(주)국순당,43650,13-Dec,0,  알코올음료 제조업
205,(주)국순당,43650,14-Dec,0,  알코올음료 제조업
206,(주)국순당,43650,15-Dec,0.98,  알코올음료 제조업
207,(주)국순당,43650,16-Dec,1.2,  알코올음료 제조업
208,(주)국순당,43650,17-Dec,1.38,  알코올음료 제조업
209,(주)국순당,43650,18-Dec,1.5,  알코올음료 제조업
210,(주)국순당,43650,19-Dec,1.75,  알코올음료 제조업
211,(주)국영지앤엠,6050,11-Dec,0,  유리 및 유리제품 제조업
212,(주)국영지앤엠,6050,12-Dec,0,  유리 및 유리제품 제조업
213,(주)국영지앤엠,6050,13-Dec,0,  유리 및 유리제품 제조업
214,(주)국영지앤엠,6050,14-Dec,0,  유리 및 유리제품 제조업
215,(주)국영지앤엠,6050,15-Dec,0,  유리 및 유리제품 제조업
216,(주)국영지앤엠,6050,16-Dec,0,  유리 및 유리제품 제조업
217,(주)국영지앤엠,6050,17-Dec,0,  유리 및 유리제품 제조업
218,(주)국영지앤엠,6050,18-Dec,0,  유리 및 유리제품 제조업
219,(주)국영지앤엠,6050,19-Dec,0,  유리 및 유리제품 제조업
220,(주)그래디언트,35080,11-Dec,0,  무점포 소매업
221,(주)그래디언트,35080,12-Dec,0,  무점포 소매업
222,(주)그래디언트,35080,13-Dec,0,  무점포 소매업
223,(주)그래디언트,35080,14-Dec,0,  무점포 소매업
224,(주)그래디언트,35080,15-Dec,0,  무점포 소매업
225,(주)그래디언트,35080,16-Dec,0,  무점포 소매업
226,(주)그래디언트,35080,17-Dec,0,  무점포 소매업
227,(주)그래디언트,35080,18-Dec,0,  무점포 소매업
228,(주)그래디언트,35080,19-Dec,30.82,  무점포 소매업
229,(주)금호에이치티,214330,15-Dec,1.4,  자동차 신품 부품 제조업
230,(주)금호에이치티,214330,16-Dec,0,  자동차 신품 부품 제조업
231,(주)금호에이치티,214330,17-Dec,0,  자동차 신품 부품 제조업
232,(주)금호에이치티,214330,18-Dec,0,  자동차 신품 부품 제조업
233,(주)금호에이치티,214330,19-Dec,0,  자동차 신품 부품 제조업
234,(주)기가레인,49080,13-Dec,0,  특수 목적용 기계 제조업
235,(주)기가레인,49080,14-Dec,0,  특수 목적용 기계 제조업
236,(주)기가레인,49080,15-Dec,0,  특수 목적용 기계 제조업
237,(주)기가레인,49080,16-Dec,0,  특수 목적용 기계 제조업
238,(주)기가레인,49080,17-Dec,0,  특수 목적용 기계 제조업
239,(주)기가레인,49080,18-Dec,0.07,  특수 목적용 기계 제조업
240,(주)기가레인,49080,19-Dec,0.24,  특수 목적용 기계 제조업
241,(주)기산텔레콤,35460,11-Dec,12.76,  통신 및 방송 장비 제조업
242,(주)기산텔레콤,35460,12-Dec,6.09,  통신 및 방송 장비 제조업
243,(주)기산텔레콤,35460,13-Dec,6.35,  통신 및 방송 장비 제조업
244,(주)기산텔레콤,35460,14-Dec,7.77,  통신 및 방송 장비 제조업
245,(주)기산텔레콤,35460,15-Dec,7.19,  통신 및 방송 장비 제조업
246,(주)기산텔레콤,35460,16-Dec,12.55,  통신 및 방송 장비 제조업
247,(주)기산텔레콤,35460,17-Dec,10.65,  통신 및 방송 장비 제조업
248,(주)기산텔레콤,35460,18-Dec,12.62,  통신 및 방송 장비 제조업
249,(주)기산텔레콤,35460,19-Dec,8.25,  통신 및 방송 장비 제조업
250,(주)까뮤이앤씨,13700,11-Dec,0,  건물 건설업
251,(주)까뮤이앤씨,13700,12-Dec,0,  건물 건설업
252,(주)까뮤이앤씨,13700,13-Dec,0,  건물 건설업
253,(주)까뮤이앤씨,13700,14-Dec,0.02,  건물 건설업
254,(주)까뮤이앤씨,13700,15-Dec,0.01,  건물 건설업
255,(주)까뮤이앤씨,13700,16-Dec,0,  건물 건설업
256,(주)까뮤이앤씨,13700,17-Dec,0.18,  건물 건설업
257,(주)까뮤이앤씨,13700,18-Dec,0.2,  건물 건설업
258,(주)까뮤이앤씨,13700,19-Dec,0.12,  건물 건설업
259,(주)나노,187790,14-Dec,,  기초 화학물질 제조업
260,(주)나노,187790,15-Dec,2.2,  기초 화학물질 제조업
261,(주)나노,187790,16-Dec,2.61,  기초 화학물질 제조업
262,(주)나노,187790,17-Dec,1.16,  기초 화학물질 제조업
263,(주)나노,187790,18-Dec,1.03,  기초 화학물질 제조업
264,(주)나노,187790,19-Dec,0.52,  기초 화학물질 제조업
265,(주)나노신소재,121600,11-Dec,4.08,  기타 화학제품 제조업
266,(주)나노신소재,121600,12-Dec,7.02,  기타 화학제품 제조업
267,(주)나노신소재,121600,13-Dec,9.19,  기타 화학제품 제조업
268,(주)나노신소재,121600,14-Dec,7.96,  기타 화학제품 제조업
269,(주)나노신소재,121600,15-Dec,6.21,  기타 화학제품 제조업
270,(주)나노신소재,121600,16-Dec,8.07,  기타 화학제품 제조업
271,(주)나노신소재,121600,17-Dec,6.58,  기타 화학제품 제조업
272,(주)나노신소재,121600,18-Dec,6.88,  기타 화학제품 제조업
273,(주)나노신소재,121600,19-Dec,8.27,  기타 화학제품 제조업
274,(주)나무가,190510,15-Dec,1.65,  전자부품 제조업
275,(주)나무가,190510,16-Dec,3.27,  전자부품 제조업
276,(주)나무가,190510,17-Dec,3.72,  전자부품 제조업
277,(주)나무가,190510,18-Dec,2.37,  전자부품 제조업
278,(주)나무가,190510,19-Dec,2.43,  전자부품 제조업
279,(주)나이벡,138610,11-Dec,0.1,  의료용품 및 기타 의약 관련제품 제조업
280,(주)나이벡,138610,12-Dec,4.06,  의료용품 및 기타 의약 관련제품 제조업
281,(주)나이벡,138610,13-Dec,3.89,  의료용품 및 기타 의약 관련제품 제조업
282,(주)나이벡,138610,14-Dec,3.11,  의료용품 및 기타 의약 관련제품 제조업
283,(주)나이벡,138610,15-Dec,2.72,  의료용품 및 기타 의약 관련제품 제조업
284,(주)나이벡,138610,16-Dec,5.24,  의료용품 및 기타 의약 관련제품 제조업
285,(주)나이벡,138610,17-Dec,10.16,  의료용품 및 기타 의약 관련제품 제조업
286,(주)나이벡,138610,18-Dec,23.12,  의료용품 및 기타 의약 관련제품 제조업
