,회사명,거래소코드,회계년도,기업수명,기업수명(연결)
432,(주)나노엔텍,39860,16-Dec,도입기,도입기
433,(주)나노엔텍,39860,17-Dec,9,9
434,(주)나노엔텍,39860,18-Dec,성숙기,성숙기
435,(주)나노엔텍,39860,19-Dec,성숙기,성숙기
436,(주)나무가,190510,15-Dec,성장기,성장기
437,(주)나무가,190510,16-Dec,성장기,성장기
438,(주)나무가,190510,17-Dec,쇠퇴기,쇠퇴기
439,(주)나무가,190510,18-Dec,쇄신기,성숙기
440,(주)나무가,190510,19-Dec,도입기,성장기
441,(주)나스미디어,89600,13-Dec,도입기,도입기
442,(주)나스미디어,89600,14-Dec,쇄신기,쇄신기
443,(주)나스미디어,89600,15-Dec,성숙기,성숙기
444,(주)나스미디어,89600,16-Dec,성숙기,쇄신기
445,(주)나스미디어,89600,17-Dec,성숙기,성숙기
446,(주)나스미디어,89600,18-Dec,성숙기,성숙기
447,(주)나스미디어,89600,19-Dec,성숙기,쇄신기
448,(주)나이벡,138610,11-Dec,도입기,도입기
449,(주)나이벡,138610,12-Dec,도입기,도입기
450,(주)나이벡,138610,13-Dec,도입기,도입기
451,(주)나이벡,138610,14-Dec,도입기,도입기
452,(주)나이벡,138610,15-Dec,도입기,도입기
453,(주)나이벡,138610,16-Dec,도입기,도입기
454,(주)나이벡,138610,17-Dec,성장기,성장기
455,(주)나이벡,138610,18-Dec,도입기,도입기
456,(주)나이벡,138610,19-Dec,도입기,도입기
457,(주)나이스디앤비,130580,11-Dec,성장기,성장기
458,(주)나이스디앤비,130580,12-Dec,성숙기,성숙기
459,(주)나이스디앤비,130580,13-Dec,성숙기,성숙기
460,(주)나이스디앤비,130580,14-Dec,성숙기,성숙기
