회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 변화율,투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동변화율(연결)
(주)기산텔레콤,35460,19-Dec,-1044708,,1207822,
(주)까뮤이앤씨,13700,11-Dec,-546,,,
(주)까뮤이앤씨,13700,12-Dec,813475,,,
(주)까뮤이앤씨,13700,13-Dec,26180276,,,
(주)까뮤이앤씨,13700,14-Dec,55871469,,,
(주)까뮤이앤씨,13700,15-Dec,4628456,,,
(주)까뮤이앤씨,13700,16-Dec,-4019364,,,
(주)까뮤이앤씨,13700,17-Dec,6319430,,,
(주)까뮤이앤씨,13700,18-Dec,-2770216,,,
(주)까뮤이앤씨,13700,19-Dec,772040,,,
(주)까스텔바작,308100,16-Dec,-21496416,,-21485147,
(주)까스텔바작,308100,17-Dec,-576968,,-197995,
(주)까스텔바작,308100,18-Dec,-943279,,-938602,
(주)까스텔바작,308100,19-Dec,-6860983,,-6891769,
(주)나노,187790,14-Dec,,,,
(주)나노,187790,15-Dec,2156639,,9238812,
(주)나노,187790,16-Dec,-83842,,-5640576,
(주)나노,187790,17-Dec,-3282598,,-5252700,
(주)나노,187790,18-Dec,-15201451,,-12769512,
(주)나노,187790,19-Dec,-2763790,,-5432329,
(주)나노브릭,286750,15-Dec,,,,
(주)나노브릭,286750,16-Dec,,,,
(주)나노브릭,286750,17-Dec,2110817,,1419553,
(주)나노브릭,286750,18-Dec,-130670,,-130670,
(주)나노브릭,286750,19-Dec,-4977169,,-4977169,
(주)나노신소재,121600,11-Dec,-13657299,,-13390625,
(주)나노신소재,121600,12-Dec,-705165,,-708451,
(주)나노신소재,121600,13-Dec,754888,,746725,
(주)나노신소재,121600,14-Dec,-1362579,,-1364466,
(주)나노신소재,121600,15-Dec,-5217538,,-5219510,
(주)나노신소재,121600,16-Dec,-4761744,,-4770690,
(주)나노신소재,121600,17-Dec,-11412526,,-11462551,
(주)나노신소재,121600,18-Dec,-1616867,,-1616867,
(주)나노신소재,121600,19-Dec,-7681809,,-5935071,
(주)나노엔텍,39860,11-Dec,-16468752,,-15522785,
(주)나노엔텍,39860,12-Dec,2932043,,2933276,
(주)나노엔텍,39860,13-Dec,-1256479,,715880,
(주)나노엔텍,39860,14-Dec,-1348355,,-1348355,
(주)나노엔텍,39860,15-Dec,-2774817,,-1138904,
(주)나노엔텍,39860,16-Dec,-7733187,,-4177792,
