회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
동일기연,11-Dec,32960,45546692,28453351,0.6247073
동일기연,12-Dec,32960,35460962,22371930,0.630888976
동일기연,13-Dec,32960,32037652,20723719,0.646855113
동일기연,14-Dec,32960,33098686,20758773,0.62717816
동일기연,15-Dec,32960,28501761,16631921,0.583540119
동일기연,16-Dec,32960,28280102,16805639,0.594256661
동일기연,17-Dec,32960,34429354,20135820,0.584844549
동일기연,18-Dec,32960,26930368,18171060,0.674742358
동일기연,19-Dec,32960,28951585,17950637,0.6200226
두산,11-Dec,150,4033312612,2963164179,0.734672579
두산,12-Dec,150,3833824003,2981187475,0.777601547
두산,13-Dec,150,21936534160,18258323269,0.832324885
두산,14-Dec,150,20468238468,17080686734,0.834497153
두산,15-Dec,150,18960372476,15968105795,0.842183128
두산,16-Dec,150,16410692546,13533749739,0.824690957
두산,17-Dec,150,17585204592,14438711228,0.821071552
두산,18-Dec,150,18172166697,14848657907,0.817109933
두산,19-Dec,150,18535738102,15376413801,0.829554977
두산테스나,13-Dec,131970,67808309,67808309,1
두산테스나,14-Dec,131970,47834146,47834146,1
두산테스나,15-Dec,131970,33822200,33822200,1
두산테스나,16-Dec,131970,30280048,30280048,1
두산테스나,17-Dec,131970,47188713,47188713,1
두산테스나,18-Dec,131970,65267823,65267823,1
두산테스나,19-Dec,131970,96831033,96831033,1
듀오백,11-Dec,73190,43295809,28188362,0.651064448
듀오백,12-Dec,73190,38673329,26181816,0.676999283
듀오백,13-Dec,73190,40419100,26869710,0.664777543
듀오백,14-Dec,73190,41712497,29186593,0.699708603
듀오백,15-Dec,73190,34845024,25847001,0.741770217
듀오백,16-Dec,73190,32483515,24263223,0.746939578
듀오백,17-Dec,73190,38859471,27443863,0.706233572
듀오백,18-Dec,73190,32678107,25101587,0.768146913
듀오백,19-Dec,73190,31808599,23400817,0.735675815
드래곤플라이,11-Dec,30350,36773818,3532287,0.096054399
드래곤플라이,12-Dec,30350,34046437,3092469,0.090830914
드래곤플라이,13-Dec,30350,23034689,128210,0.005565953
드래곤플라이,14-Dec,30350,19613337,17003424,0.866931721
