구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)엔에스엔,31860,  정보서비스업,99.75,88.91,92.9,76.25,85.79,97.63,97.83,83.01,93.04
(주)엔에이치엔벅스,104200,  정보서비스업,58.95,70.01,60.07,60.61,0,0,0,0,0
(주)엔이능률,53290,  출판업,52.54,49.68,39.55,34.81,29.78,32.73,30.22,32.15,31.36
(주)엔지스테크널러지,208860,  출판업,0,0,0,0,0,0,0,0,0
(주)엔지켐생명과학,183490,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,86.26,91.53
(주)엔케이,85310,  금속가공제품 제조업; 기계 및 가구 제외,86.58,86.73,89.16,89.81,92.56,103.4,89.69,107.32,94.06
(주)엔케이맥스,182400,  의료용 물질 및 의약품 제조업,0,0,0,0,32.03,20.68,28.06,24.78,25.82
(주)엔텔스,69410,  출판업,68.16,69.03,69.08,75.02,80.61,78.37,78.64,75.95,72.04
(주)엔투텍,227950,  기타금융업,0,0,0,0,0,0,0,84.11,0
(주)엔피,291230,  기타금융업,0,0,0,0,0,0,0,0,0
(주)엔피케이,48830,  화학물질 및 화학제품 제조업; 의약품 제외,95,94.1,91.72,94.07,98.06,93.79,90.95,91.09,91.01
(주)엘디티,96870,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",80.06,89.46,111.73,107.49,69.44,87.19,87.46,60.93,72.71
(주)엘아이에스,138690,  기타 기계 및 장비 제조업,79.17,127.31,84.62,88.07,56.96,79.96,78.86,80.25,77.66
(주)엘앤씨바이오,290650,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,35.35,36.2
(주)엘앤에프,66970,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",94.96,95.17,94.8,94.67,96.83,88.39,89.01,90.95,96.19
(주)엘앤케이바이오메드,156100,"  의료, 정밀, 광학기기 및 시계 제조업",0,0,0,0,0,47.28,67.34,55,71
(주)엘에스,6260,  전문 서비스업,0,0,0,0,0,0,0,0,0
(주)엘에스네트웍스,680,  도매 및 상품 중개업,49.48,56.33,64.51,68.43,70.89,62.14,54.28,54.75,62.56
(주)엘에프,93050,"  의복, 의복 액세서리 및 모피제품 제조업",37.85,39.04,38.49,36.86,39.24,39.49,38.42,39.72,40.03
(주)엘엑스세미콘,108320,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",77.52,83.47,82.44,79.86,79.05,78.63,78,75.54,75.45
(주)엘엑스인터내셔널,1120,  도매 및 상품 중개업,94.39,92.49,93.57,92.01,92.84,92.08,93.51,95.7,95.64
(주)엘엑스하우시스,108670,  고무 및 플라스틱제품 제조업,81.46,79.4,78.46,77.74,74.81,74.95,77.92,79.96,78.66
(주)엘엠에스,73110,"  의료, 정밀, 광학기기 및 시계 제조업",63.76,65.8,67.57,71.14,74.69,75.85,78.78,76.03,57.74
(주)엘오티베큠,83310,  기타 기계 및 장비 제조업,72.18,71.05,74.77,74.57,71.62,71.1,71.82,69.25,72.03
(주)엘지,3550,  전문 서비스업,0,0,0,0,0,0,0,0,0
(주)엘지생활건강,51900,  화학물질 및 화학제품 제조업; 의약품 제외,49.34,48.88,49.48,45.89,41.56,40,39.82,39.25,37.37
(주)엘지유플러스,32640,  우편 및 통신업,0,0,0,0,0,0,0,0,0
(주)엘지헬로비전,37560,  방송업,0,56.55,61.26,62.53,64.28,67.17,64.56,9.98,8.12
(주)엘지화학,51910,  화학물질 및 화학제품 제조업; 의약품 제외,81.74,85.52,85.37,86.69,81.4,79.45,78.4,80.48,82.11
(주)엠게임,58630,  출판업,0,0,0,0,0,0,0,0,0
(주)엠디에스테크,86960,  출판업,63.6,62.56,65.31,65.7,65.27,68.11,65.38,62.16,64.99
(주)엠씨넥스,97520,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,87.83,89.47,86.33,86.08,94.18,90.92,85.56,84.03
(주)엠아이텍,179290,"  의료, 정밀, 광학기기 및 시계 제조업",0,0,0,0,0,0,0,51.44,54.96
(주)엠에스씨,9780,  식료품 제조업,81.41,80.15,79.88,78.75,78.4,76.91,77.37,78.36,78.44
(주)엠에스오토텍,123040,  자동차 및 트레일러 제조업,73.61,76.06,88.65,92.45,89.09,89.47,92.98,95.41,95.02
(주)엠투엔,33310,  금속가공제품 제조업; 기계 및 가구 제외,91.54,86.61,79.98,80.75,86.53,89.11,92.12,92.41,93.68
(주)엠플러스,259630,  기타 기계 및 장비 제조업,0,0,0,0,0,0,82.93,91.27,85.63
(주)엠피대산,65150,  도매 및 상품 중개업,63.41,60.77,60.71,60.86,55.3,52.7,53.5,53.59,50.39
(주)연우,115960,  고무 및 플라스틱제품 제조업,0,0,0,0,81.87,80.78,86.86,89.26,83.98
