회사명,거래소코드,회계년도,산업코드,산업명
(주)그린플러스,186230,2019/12,032402,  1차 금속 제조업
(주)글로벌스탠다드테크놀로지,083450,2011/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2012/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2013/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2014/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2015/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2016/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2017/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2018/12,032902,  기타 기계 및 장비 제조업
(주)글로벌스탠다드테크놀로지,083450,2019/12,032902,  기타 기계 및 장비 제조업
(주)금비,008870,2011/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2012/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2013/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2014/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2015/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2016/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2017/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2018/09,032301,  비금속 광물제품 제조업
(주)금비,008870,2019/09,032301,  비금속 광물제품 제조업
(주)금양,001570,2011/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2012/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2013/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2014/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2015/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2016/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2017/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금양,001570,2018/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
