회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결)
영화금속(주),12280,Dec-17,119.22,,30.02,,37.33,,495.6,,44.24,,77.59,,60.97,,39.03,,19.6,,103.83,,7.05,
영화금속(주),12280,Dec-18,147.97,,29.18,,38.16,,284.17,,49.29,,111.38,,66.62,,33.38,,23.52,,918.08,,0.98,
영화금속(주),12280,Dec-19,137.83,,26.09,,37.42,,352.91,,44.22,,91,,64.97,,35.03,,30.28,,204.3,,5.55,
영화테크(주),265560,Dec-17,9.31,10.48,60.15,61.31,66.46,69.72,256.98,208.05,54.33,58.9,19.18,26.44,19.23,23.73,80.77,76.27,9.5,12.06,12.38,16.96,50.97,49.55
영화테크(주),265560,Dec-18,7.67,7.77,53.64,54.97,60.64,64.31,208.62,158.99,37.27,37.27,14.34,18.76,16.27,19.3,83.73,80.7,11.54,14.53,14.39,19,48.63,49.18
영화테크(주),265560,Dec-19,8.42,8.57,50.3,50.21,58.23,60.49,170.09,150.18,66.01,66.01,18.29,20.36,17.62,19.04,82.38,80.96,13.62,17,18.37,23.37,43.17,44.01
예스이십사(주),53280,Dec-11,0,0,27.54,27.56,44.68,44.72,43.56,43.56,0,0,112.3,112.52,54.72,54.77,45.28,45.23,38.36,38.36,0,0,-6.17,-6.18
예스이십사(주),53280,Dec-12,9.95,,47.98,,63.22,,53.79,,37.5,,113.79,,56.65,,43.35,,24.11,,109.68,,13.9,
예스이십사(주),53280,Dec-13,5.94,,39.68,,58.58,,46.91,,80,,110.97,,55,,45,,32.27,,218.65,,8.65,
예스이십사(주),53280,Dec-14,33.9,114.27,32.19,36.72,47.1,48.38,60.48,131.25,35.48,82.95,112.53,236.6,58.96,72.88,41.04,27.12,31.66,24.1,1636.43,0,0.91,-15.79
예스이십사(주),53280,Dec-15,0,5.17,43.52,43.05,60.56,60.14,47.21,49.75,0,0,99.26,110.7,51.76,54.43,48.24,45.57,28.15,28.41,134.51,176.23,12.67,9.7
예스이십사(주),53280,Dec-16,12.76,18.92,43.94,43.18,59.31,58.61,55.22,58.35,0,0,124.93,138.88,57.38,59.91,42.62,40.09,25.92,26.34,253.6,526.58,6.06,2.93
예스이십사(주),53280,Dec-17,19.11,24.62,41.16,40.23,56.82,55.84,68.91,72.42,0,0,143.32,154.94,60.52,62.35,39.48,37.65,27.56,27.95,6606.43,0,0.24,-2.5
예스이십사(주),53280,Dec-18,22.41,26.16,34.84,34.9,50.54,50.46,63.1,65.26,0,0,184.77,188.2,66.38,66.82,33.62,33.18,31.05,30.84,0,0,-11.58,-11.98
예스이십사(주),53280,Dec-19,38.18,48.97,26.58,26.37,41.47,40.79,53.75,58.93,68.62,63.63,225,237.44,71.7,73.15,28.3,26.85,35.91,35.35,0,0,-22.2,-22.97
오가닉티코스메틱스홀딩스컴퍼니리미티드,900300,Dec-15,,,,,,,,,,,,,,,,,,,,,,
오가닉티코스메틱스홀딩스컴퍼니리미티드,900300,Dec-16,,4.8,,72.74,,76.12,,738.12,,0,,15.18,,13.33,,86.67,,4.44,,5.37,,62.96
