회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
이원컴포텍(주),88290,15-Dec,89.81,101.49,75.37,64.12,0.72,4.99,152.36,177.11,21.92,29.55,0,-9.17,0,-5.02,-0.01,-19.84,39.63,36.09
이원컴포텍(주),88290,16-Dec,72.8,89.53,52.34,52.6,1.49,6.58,141.85,187.07,19.38,25.83,13.21,4.73,5.72,2.31,39.99,11.94,41.35,34.83
이원컴포텍(주),88290,17-Dec,70.67,82.01,49.56,48.22,0.52,3.11,226.74,278.97,37.5,39.35,3.16,2.59,1.85,1.66,5.85,4.84,30.61,26.39
이원컴포텍(주),88290,18-Dec,86.27,78.26,65.08,50.8,0.05,0.86,286.28,284.17,37.26,35.9,1.37,0.22,0.68,0.12,2.73,0.46,25.89,26.03
이원컴포텍(주),88290,19-Dec,140.96,141.38,121.53,113.15,25.5,28.39,107.98,92.38,22.44,21.75,14.08,13.56,5.79,5.15,32.57,29.94,48.08,51.98
이지케어텍(주),99750,19-Mar,672.45,674.64,672.45,674.64,162.66,163.39,25.39,25.34,0,0.35,25.41,24.39,5.34,5.12,0,1425.64,79.75,79.78
이트론(주),96040,11-Dec,2725.58,765.12,2725.58,765.12,595.58,318.03,2.31,8.09,0,0,-160.92,-85.9,-11.85,-11.34,0,0,97.74,92.51
이트론(주),96040,12-Dec,728.32,211.78,728.32,211.78,323.91,109.41,8.58,36.64,0,0,-58.4,-32.38,-25.85,-10.73,0,0,92.1,73.18
이트론(주),96040,13-Dec,271.68,107.59,238.62,86.2,96.13,25.73,56.49,168.65,20.82,31.85,-6.98,-2.61,-4.13,-1.92,-12.11,-5.15,63.9,37.22
이트론(주),96040,14-Dec,537.05,,484.21,,214.21,,31.59,,11.92,,-11.82,,-4.9,,-23.81,,75.99,
이트론(주),96040,15-Dec,261.5,,235.59,,112.66,,34.29,,11.11,,-26.72,,-11.98,,-61.39,,74.46,
이트론(주),96040,16-Dec,635.37,,599.75,,370.71,,14.75,,0,,-59.46,,-17.22,,0,,87.14,
이트론(주),96040,17-Dec,1094.33,,1076.9,,769.48,,9,,0,,-35.16,,-9.9,,0,,91.75,
이트론(주),96040,18-Dec,669.62,,649.89,,338.4,,5.39,,0,,-5.23,,-1.49,,0,,94.88,
이트론(주),96040,19-Dec,573.03,622.87,530.86,580.71,214.23,264.19,60.44,60.44,30.12,30.12,-15.01,-27.04,-20.47,-36.87,-18.78,-33.82,62.33,62.33
