회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),자산(*)(IFRS)(천원),재고자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),매출채권(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),장기차입금(IFRS연결)(천원),유동성장기부채(*)(IFRS연결)(천원),사채(IFRS연결)(천원),매출채권(IFRS연결)(천원)
(주)에스에프에이반도체,36540,14-Dec,84487392,263329564,611442667,16634151,208174383,403268284,172245000,82602000,19800470,41199530,34605302,205356752,406171056,813251267,38890009,203848990,609402277,0,0,29709335,0,57915739
(주)에스에프에이반도체,36540,15-Dec,123167175,82689753,536598043,12308795,187360698,349237344,12754949,175872284,2846000,35863878,24615720,216376306,170374763,726706965,25613992,255922753,470784212,0,0,2846000,0,43750121
(주)에스에프에이반도체,36540,16-Dec,118857128,68995201,515339112,15478391,195766852,319572260,0,173243767,0,31212730,29733772,224873731,139875134,676174765,35076587,271578558,404596207,0,0,0,0,51172886
(주)에스에프에이반도체,36540,17-Dec,143206170,62178737,518921419,8843662,206985940,311935480,0,174013315,0,29877064,58606784,177249367,108020878,632921458,22750729,269616661,363304797,0,0,0,0,37674868
(주)에스에프에이반도체,36540,18-Dec,128669825,66861893,521235257,9248169,213477954,307757302,0,175897923,0,18754000,35814095,177161684,97182136,627366723,35534935,287723794,339642929,0,0,0,0,49183676
(주)에스에프에이반도체,36540,19-Dec,183160846,319119819,564429867,22019608,227732431,336697437,0,4970845,191437875,0,48449635,226727250,320110901,661228514,35635140,315842039,345386475,0,0,18574582,0,51597261
(주)에스엘바이오닉스,214310,15-Dec,23236948,9804279,48126701,2881947,33264828,14861873,1000000,4437111,2233333,0,10514238,24291565,9804524,48661379,2881947,33799261,14862118,0,0,2233333,0,10514238
(주)에스엘바이오닉스,214310,16-Dec,29577194,33889017,69870377,3620382,30548864,39321513,480492,0,0,0,8351589,33927749,34433346,70810853,3620382,30931362,39879492,0,0,0,0,15287860
(주)에스엘바이오닉스,214310,17-Dec,25240288,35515380,52542796,2975594,16562334,35980462,519421,0,0,0,5547053,23287148,39400852,56424586,2975594,16512334,39912252,0,0,0,0,6398813
(주)에스엘바이오닉스,214310,18-Dec,38419185,31633673,63643034,1934953,31417505,32225529,0,0,0,0,3491923,31423586,32553439,64473790,1934953,31311532,33162258,0,0,0,0,8981923
(주)에스엘바이오닉스,214310,19-Dec,9450751,14935321,42746226,1536470,27014560,15731666,4500000,0,0,0,3098209,9943894,14935321,41920291,1536470,26188625,15731666,0,0,0,0,5794517
(주)에스엠라이프디자인그룹,63440,11-Dec,9577476,6932661,37118867,438308,28253625,8865241,3500000,0,0,0,4530713,,,,,,,,,,,
(주)에스엠라이프디자인그룹,63440,12-Dec,5191563,5429993,30675175,148397,23195126,7480049,3500000,0,0,0,2035860,,,,,,,,,,,
(주)에스엠라이프디자인그룹,63440,13-Dec,16420398,17222404,37877798,274429,19420449,18457349,6000000,0,0,0,2220607,17868984,18351762,36821317,463488,17057528,19763789,0,0,82391,0,2367111
(주)에스엠라이프디자인그룹,63440,14-Dec,7524951,8420195,24913678,640554,15159676,9754003,5700000,0,0,0,4459855,8941739,10137570,26704445,972934,15172489,11531955,0,0,115419,0,4477402
(주)에스엠라이프디자인그룹,63440,15-Dec,5885997,7417005,22276928,664145,13306103,8970824,4750000,0,0,0,2830439,6728529,8368601,23228524,931478,13306103,9922421,0,0,0,0,2868814
