회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SIMPAC,9160,Dec-11,155833324,151220422,116922857,,26353233,62702218,168941269,152885455,116979241,26468261,0,62612712,63806746,141119807,141938059,10000000,33556016,0,,10000000,33556016,0,,296953131,310879328,213867522,215365697
(주)SIMPAC,9160,Dec-12,177830482,150643335,108043478,,25281451,64182764,187860952,152757766,108358727,25350698,0,22482530,23996902,129536202,130804553,10000000,30338486,0,,10000000,30338486,0,,307366684,318665505,223854758,225353321
(주)SIMPAC,9160,Dec-13,197900866,106534703,133732141,,25606746,64271295,208831047,108635043,133795401,25646140,0,8440790,9579706,151936024,153154843,6666640,57162310,0,,6666640,57162310,0,,349836891,361985890,204527751,205751154
(주)SIMPAC,9160,Dec-14,203904919,118044851,116089000,,31897827,70604838,219125252,144850453,136708331,40715808,0,18149680,26579526,125420957,162814028,2499990,25004397,0,,2499990,35004397,0,,329325876,381939281,227491803,263152264
(주)SIMPAC,9160,Dec-15,220087525,138074968,142954454,,48860928,75847152,232007841,174086524,169308019,56208760,0,13257512,24992942,149261391,190825603,0,40000000,0,,220000,50481896,0,,369348917,422833445,213152303,269528038
(주)SIMPAC,9160,Dec-16,228959172,138253630,130874395,,41542910,75130388,240416530,176778523,155344858,45959349,0,37552158,51893169,137286101,177448939,0,10000000,0,,220000,24590628,0,,366245273,417865468,215839356,267074156
(주)SIMPAC,9160,Dec-17,223781988,124800057,114191470,,34297232,70402759,240826100,150671614,130651105,39255148,0,21377049,30772455,119223157,140332152,0,15000000,0,,178750,20000000,0,,343005145,381158251,203150228,230634812
(주)SIMPAC,9160,Dec-18,411119510,273219151,207957388,,103871365,156312739,435032869,310736335,228518804,110042965,0,96706341,112467533,217214665,246717950,0,95000000,0,,123750,105000000,0,,628334175,681750819,268863854,306150809
(주)SIMPAC,9160,Dec-19,419215968,224313300,178141755,,69944925,153003014,441195485,289195402,219489571,88166502,0,102478339,127867537,189477136,237950364,0,102000000,0,,68750,126700000,0,,608693104,679145850,391970769,430085162
(주)SNT에너지,100840,Dec-11,160595865,145463387,96002453,,15421719,122586108,,,,,,20431413,,115915976,,0,20000000,0,,,,,,276511841,,195318747,
(주)SNT에너지,100840,Dec-12,183306309,161463967,88443397,,17407006,122289502,,,,,,45359641,,109495724,,0,0,0,,,,,,292802033,,230707564,
(주)SNT에너지,100840,Dec-13,198164671,181309369,91989174,,17793150,120367341,,,,,,65884045,,113510608,,0,0,0,,,,,,311675279,,200750984,
(주)SNT에너지,100840,Dec-14,207712504,170494610,76613085,,17747389,120065551,,,,,,38991412,,96799312,,0,0,0,,,,,,304511816,,242746888,
(주)SNT에너지,100840,Dec-15,231399939,184059424,64293369,,10693980,118714558,,,,,,31732088,,84796156,,0,0,0,,,,,,316196096,,260094045,
(주)SNT에너지,100840,Dec-16,229799567,211766053,102181702,,6779276,118148046,,,,,,58818094,,118242778,,0,0,0,,,,,,348042346,,254089906,
(주)SNT에너지,100840,Dec-17,233817326,172919603,49128545,,2324389,116825424,,,,,,57181172,,66449368,,0,0,0,,,,,,300266693,,184091945,
(주)SNT에너지,100840,Dec-18,231276490,155524318,31555307,,5692284,115728393,,,,,,59575400,,49715044,,0,0,0,,,,,,280991534,,139516396,
(주)SNT에너지,100840,Dec-19,245545053,202225767,65138557,,10124894,116275557,244954910,204986584,67469967,10208805,0,20449399,21039331,85846184,88942325,0,0,0,,0,0,0,,331391237,333897235,202822913,213326726
(주)SNT홀딩스,36530,Dec-11,387839074,64671576,199700,,0,150611,1311007481,1041841182,597785981,274834022,10574528,36105093,233373653,284900,813820784,0,0,0,,627000,83747208,0,,388123974,2124828265,2257851,1663846065
(주)SNT홀딩스,36530,Dec-12,388611726,40740917,165833,,0,100263,1318022867,998857779,540250663,280540811,0,14832665,194157169,352990,756881039,0,0,0,,1230693,61474637,457844,,388964716,2074903906,8718270,1668749904
(주)SNT홀딩스,36530,Dec-13,396851717,49212139,306090,,0,54602,1374365240,1070812404,569273848,311174402,0,17730734,276440760,484426,774810996,0,0,0,,741141,74400885,0,,397336142,2149176237,8826810,1576368464
(주)SNT홀딩스,36530,Dec-14,398863036,47079948,245998,,0,75419,1356040938,994978341,477795324,283952471,0,9715942,243530561,381380,683347926,0,0,0,,496019,27084000,0,,399244416,2039388864,7701882,1552374806
(주)SNT홀딩스,36530,Dec-15,421925486,100040105,8658519,,0,55309,1529249091,1140793639,433769566,268780766,1686108,40091211,359044775,8658519,640062214,0,0,0,,241477,6947267,0,,430584006,2169311305,8475099,1612746929
(주)SNT홀딩스,36530,Dec-16,426682947,97449826,318763,,0,35654,1530892611,1205349271,487107956,236908975,0,31484863,431998241,318763,679285814,0,0,0,,0,6890307,0,,427001710,2210178425,9818190,1537700275
(주)SNT홀딩스,36530,Dec-17,425136143,98229088,299279,,0,19895,1519293154,1187727595,448821933,215870141,0,13150370,413299290,299279,626881784,0,0,0,,0,6520000,0,,425435423,2146174938,7417869,1508152132
(주)SNT홀딩스,36530,Dec-18,422573122,89557460,231691,,0,2888,1503275496,1168023374,381612594,220256725,0,3600593,268803322,231691,610559077,0,0,0,,0,6460000,0,,422804813,2113834573,7292112,1401307482
(주)SNT홀딩스,36530,Dec-19,416939604,31735933,233270,,0,59663,1625933047,1266526398,405603647,229809615,0,1989989,375881409,233270,610745978,0,0,0,,0,0,0,,417172874,2236679025,11015928,1512114565
(주)STX,11810,Dec-11,1164648000,993206000,1568777000,,240418000,72801000,1915942000,1430457000,2041868000,315306000,0,88385000,233297000,2137600000,3318233000,115350000,657305000,0,,453951000,867790000,0,,3302248000,5234175000,4173397000,5967701000
(주)STX,11810,Dec-12,1123534000,856988000,1821548000,,108537000,69598000,1506639000,1484305000,2363189000,182590000,0,17643000,306062000,2103344000,3560390000,97993000,749942000,0,,523076000,974176000,0,,3226878000,5067029000,4116767000,6159850000
